ACCE_ABSORB_COST	Custos da combinação: %d
ACCE_ALREADY_REGISTER	Este item já foi usado.
ACCE_DEL_ABSORDITEM	Absorver item, destruindo-o no processo?
ACCE_DEL_SERVEITEM	A Faixa 2 será destruída caso a combinação falhe.
ACCE_DEL_SERVEITEM2	A Faixa 2 será destruída caso a combinação falhe.
ACCE_INITEM	Arrasta os itens para a janela.
ACCE_MAXGRADE	Isto já foi personalizado.
ACCE_MAX_DRAINRATE	Máx. Taxa de Absorção
ACCE_NOTABSORBITEM	Não podes usar uma arma ou armadura que já tenha sido absorvida.
ACCE_NOT_SEALITEM	Não podes usar quaisquer itens vinculados.
ACCE_NOT_USINGITEM	Não podes combinar um item equipado.
ACCE_NOT_WINDOWOPEN	Não podes usar o item quando a janela de combinação está aberta.
ACCE_POSSIBLE_ACCE	Apenas podes usar Faixas de Ombro.
ACCE_POSSIBLE_ACCEITEM	Apenas podes extrair bónus de armas de armaduras.
AFF_LOVE_POINT	Pontos de Amor: %d%%
ALIGNMENT_NAME	Pontos de Karma:
ATTACK_ERROR_UNKNOWN	Erro de Ataque Desconhecido: %s
ATTENDANCE_REWARD_QUESTION	Queres obter a tua recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Não podes usar este item enquanto um bónus está a ser adicionado.
ATTR_6TH_7TH_ADD_QUESTION2	Queres mesmo adicionar o bónus?
ATTR_6TH_7TH_CHANGE_FAIL	Não podes mudar o bónus.
ATTR_6TH_7TH_DESC1	a. Tens de adicionar os materiais requeridos pelo item para adicionares um 6º e 7º bónus
ATTR_6TH_7TH_DESC2	b. Cada Lasca do Poder aumenta a taxa de sucesso em 2%
ATTR_6TH_7TH_DESC3	c. Usa um Aditivo para aumentares ainda mais a taxa de sucesso
ATTR_6TH_7TH_DESC4	d. São necessárias 24 horas para adicionar um bónus Durante esse tempo, o NPC ficará com o item ao qual o bónus deverá ser adicionado. Assim que o processo estiver terminado, podes voltar a recolhê-lo.
ATTR_6TH_7TH_POSSIBILITY	Podes adicionar um bónus adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Taxa de sucesso: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Não podes mudar as estatísticas de um item vinculado.
AURA_CLEAR_QUESTION_WHEN_USE	Queres remover os bónus absorvidos? Não será possível recuperá-los.
AURA_DRAIN_PER	Taxa de absorção: %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Yang insuficiente para evoluir.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] O item transmitido não pode ser usado.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Itens equipados não podem ser transmitidos.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Não pode ser evoluída.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] A quantidade de itens actual não é suficiente para evoluir.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Não pode ser melhorada.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Apenas Roupas da Aura, Escudos, Colares, Brincos e Braceletes podem ser usados.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Itens vinculados não podem ser transmitidos.
AURA_ITEM_NEED_REGISTER	[Aura] Têm de ser inseridos itens.
AURA_LEVEL_STEP	Nvl%d (Fase %d)
AURA_MAX_LEVEL	[Aura] A Roupa da Aura atingiu o nível máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] O item transmitido será destruído.
AURA_OPEN_OTHER_WINDOW	Não podes fazer isto enquanto a janela de melhoramento, evolução ou transferência de estatísticas está aberta.
AURA_POSSIBLE_AURAITEM	[Aura] Só pode ser usada Roupa da Aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] A Roupa da Aura tem de ser inserida primeiro.
AURA_TITLE_ABSORB	Transmitir valores para a Roupa da Aura
AURA_TITLE_EVOLUTION	Evoluir Roupa da Aura
AURA_TITLE_GROWTH	Melhorar Roupa da Aura
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nvl%d (Fase %d) (Taxa de absorção %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
