ACCEPT	OK
ACCE_ABSORB	Assorbimento dei bonus
ACCE_COMBINE	Fusione
ACCE_MAIN	Stola 1
ACCE_RESULT	Risultato
ACCE_SERVE	Stola 2
ATTACH_METIN_INFO	Vuoi utilizzare la Pietra Spirituale?
ATTACH_METIN_TITLE	Utilizza la Pietra Spirituale
ATTENDANCE_TITLE	Evento dei Cacciatori di boss
ATTR_67_ADD	Aggiungi bonus
ATTR_67_ADD_TITLE	Aggiungi bonus
ATTR_67_MATERIAL_SLOT_TITLE	Frammenti
ATTR_67_REGIST_SLOT_TITLE	Item di destinazione
ATTR_67_SUPPORT_SLOT_TITLE	Integrazione
AURA_MAIN	Veste Aura
AURA_SUB	Materiale
AUTO_AUTO_ATTACK	Attacca
AUTO_AUTO_POSITION	Pozioni
AUTO_AUTO_POTION	Pozioni
AUTO_AUTO_RANGE	Focus
AUTO_AUTO_RESTART	Rianimazione
AUTO_AUTO_SKILL	Abilità
AUTO_CLEAR	Svuota
AUTO_END	Stop
AUTO_OFF	Off
AUTO_ON	On
AUTO_OPTION_ACCEPT	Conferma
AUTO_OPTION_CLEAR	Resetta
AUTO_OPTION_RANGE	Livello
AUTO_POSITION_SETTING	Pozioni
AUTO_POTION_SETTING	Pozioni
AUTO_RANGE_ACCEPT	Conferma
AUTO_SAVE	Salva
AUTO_SETTING	Impostazioni
AUTO_SKILL_SETTING	Abilità
AUTO_START	Start
AUTO_TITLE	Autocaccia
BANNER_ATTENDANCE_BUTTON	Evento dei Cacciatori di boss
BANNER_BATTLE_ROYALE_BUTTON	Battle Royale
BANNER_BLACK_AND_WHITE_BUTTON	Contesa dei veggenti
BANNER_CATCHKING_BUTTON	Trova il re
BANNER_EASTER_BUTTON	PASQUA
BANNER_FISH_BUTTON	IL PUZZLE DEI PESCI
BANNER_FLOWER_BUTTON	FIGLI DEI FIORI
BANNER_FOOTBALL_BUTTON	CALCIO
BANNER_FORCE_EVENT	Echi del potere
BANNER_GOLDEN_LAND_BUTTON	Terra d'Oro
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	CACCIA AI MOSTRI
BANNER_METINSTONE_RAIN_EVENT_BUTTON	Febbre di Metin
BANNER_MINIBOSS_BUTTON	Apocalisse dello Zodiaco
BANNER_MONSTERBACK_BUTTON	Incassa punti vita
BANNER_MYSTERY_BOX_BUTTON	EVENTO BOTTINO I
BANNER_MYSTERY_BOX_BUTTON_2	EVENTO BOTTINO II
BANNER_NEW_XMAS_BUTTON	NATALE
BANNER_OKEY_BUTTON	Evento Okey
BANNER_OLYMPIC_BUTTON	EVENTO DEGLI EROI
BANNER_OTHER_WORLD_BUTTON	Vai nell'Altromondo.
BANNER_RAMADAN_BUTTON	RAMADAN
BANNER_ROULETTE_BUTTON	Rituale del sangue
BANNER_SNOWFLAKE_STICK_EVENT_BUTTON	Evento Fiocchi di neve
BANNER_SOUL_BUTTON	EVENTO DELLE ANIME
BANNER_SPORTS_MATCH_BUTTON	Evento Campionato
BANNER_SUMMER_BUTTON	EVENTO ESTIVO
BANNER_TREASURE_HUNT	Caccia al tesoro
BANNER_VALENTINE_BUTTON	SAN VALENTINO
BANNER_WORLD_BOSS_BUTTON	Ultraboss
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Zona di combattimento
BATTLE_FIELD_OPERATION_TIME	È possibile entrare nella zona di combattimento dalle ore %s:00 alle ore %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	È possibile accedere in qualsiasi momento.
BATTLE_FIELD_OPERATION_TIME_END	Zona di Combattimento aperta ancora per %s ora/e.
BATTLE_FIELD_OPERATION_TIME_NA	Attualmente non è possibile accedere.
BATTLE_FIELD_OPERATION_TIME_OPEN	È possibile accedere tra %s h per %s h.
BATTLE_FILED_RANK	Rango
BATTLE_FILED_RANK_EMPIRE	Regno
